Table: Deskriptive Statistiken
,N,Mittelwert,Std Abw,Varianz,Minimum,Maximum
Gebrauchte_Zeit,30,"88,01","27,28","744,13","50,6","171,1"
Zeit_abseits_Weg,30,"17,25","14,15","200,35",",3","53,4"
Zeit_abseits_prozentual,30,"20,07","14,76","217,72",0%,54%
Malus_aktiviert,30,"2,60","5,89","34,66",0,23
Gültige N (listenweise),30,,,,,
Fehlende N (listenweise),0,,,,,

Table: Werte aufteilen
Variable,Wert
Szenario,Baseline 1

Table: Deskriptive Statistiken
,N,Mittelwert,Std Abw,Varianz,Minimum,Maximum
Gebrauchte_Zeit,6,"126,21","31,52","993,63","86,4","171,1"
Zeit_abseits_Weg,6,"18,25","12,96","167,87","4,6","42,1"
Zeit_abseits_prozentual,6,"16,33","14,69","215,87",4%,45%
Malus_aktiviert,6,",00",",00",",00",0,0
Gültige N (listenweise),6,,,,,
Fehlende N (listenweise),0,,,,,

Table: Werte aufteilen
Variable,Wert
Szenario,Baseline 2

Table: Deskriptive Statistiken
,N,Mittelwert,Std Abw,Varianz,Minimum,Maximum
Gebrauchte_Zeit,6,"73,50","14,89","221,76","50,6","89,0"
Zeit_abseits_Weg,6,"16,22","15,37","236,35","2,6","45,7"
Zeit_abseits_prozentual,6,"21,00","16,19","262,00",3%,51%
Malus_aktiviert,6,",00",",00",",00",0,0
Gültige N (listenweise),6,,,,,
Fehlende N (listenweise),0,,,,,

Table: Werte aufteilen
Variable,Wert
Szenario,Baseline 3

Table: Deskriptive Statistiken
,N,Mittelwert,Std Abw,Varianz,Minimum,Maximum
Gebrauchte_Zeit,6,"71,69","14,26","203,35","52,5","93,1"
Zeit_abseits_Weg,6,"12,92","12,08","145,86",",3","35,9"
Zeit_abseits_prozentual,6,"18,67","15,13","229,07",0%,45%
Malus_aktiviert,6,",00",",00",",00",0,0
Gültige N (listenweise),6,,,,,
Fehlende N (listenweise),0,,,,,

Table: Werte aufteilen
Variable,Wert
Szenario,Szenario 1

Table: Deskriptive Statistiken
,N,Mittelwert,Std Abw,Varianz,Minimum,Maximum
Gebrauchte_Zeit,6,"81,49","10,35","107,18","67,1","93,9"
Zeit_abseits_Weg,6,"18,04","17,18","295,12","2,2","50,3"
Zeit_abseits_prozentual,6,"21,67","18,07","326,67",2%,54%
Malus_aktiviert,6,",00",",00",",00",0,0
Gültige N (listenweise),6,,,,,
Fehlende N (listenweise),0,,,,,

Table: Werte aufteilen
Variable,Wert
Szenario,Szenario 2

Table: Deskriptive Statistiken
,N,Mittelwert,Std Abw,Varianz,Minimum,Maximum
Gebrauchte_Zeit,6,"87,14","20,37","414,84","59,5","109,4"
Zeit_abseits_Weg,6,"20,82","16,61","275,79","7,1","53,4"
Zeit_abseits_prozentual,6,"22,67","14,07","197,87",12%,50%
Malus_aktiviert,6,"13,00","6,23","38,80",7,23
Gültige N (listenweise),6,,,,,
Fehlende N (listenweise),0,,,,,
